English,Punjabi,English_Word_Count,Punjabi_Word_Count
rickety,ਨਿਰਬਲ,1,21
ridiculous,ਬਦਨਾਮ,358,411
right,ਸਿੱਧਾ,24150,2409
rigid,ਕਠੋਰ,124,321
riotous,ਪਖੰਡੀ,6,24
ripe,ਪਰਿਪੱਕ,114,32
risible,ਕਮੇਡੀ,1,35
risky,ਸੰਕਟਮਈ,256,13
risque,ਕਾਮੁਕ,1,31
roaring,ਗਰਜ,29,94
roman,ਰੋਮਨ,214,161
roofless,ਬੇਘਰ,1,240
rooted,ਸਥਿਰ,96,1803
rose,ਗੁਲਾਬੀ,968,1081
rotund,ਬੇਡੌਲ,1,22
rough,ਕਠੋਰਤਾ,337,162
round,ਗੋਲ,1378,1476
roving,ਵਣਜਾਰਾ,6,11
royal,ਹਿਰਨ,706,93
rude,ਕੱਚਾ,153,519
rudimentary,ਮੂਲ,7,4115
rugged,ਸੰਘਰਸ਼ਮਈ,31,11
ruined,ਖਤਮ,309,7193
ruinous,ਅਕ੍ਰਿਤਘਣ,2,811
runny,ਤਰਲ,92,1840
rural,ਗ੍ਰਾਮੀਣ,1885,133
russian,ਰਸ਼ੀਅਨ,3333,35
ruthless,ਕਸਾਈ,72,13
sacred,ਸ਼ੁੱਧ,469,334
sad,ਅਸੰਤੁਸ਼ਟ,4677,40
safe,ਸੁਰੱਖਿਅਤ,5638,10522
said,ਕਹੀਆਂ,78064,101
saline,ਖਾਰਾ,34,57
salutary,ਭੋਗ,4,342
sanctified,ਸ਼ੁੱਧ,10,334
sanctioned,ਸਹਿਮਤੀ,243,2920
satisfied,ਰਾਜਾ,1576,1636
satisfying,ਸਬਰ,351,1449
saturated,ਲੱਥਪੱਥ,399,31
saucy,ਢੀਠ,9,188
saudi,ਸਾਉਦੀ,616,30
scatty,ਉਦਾਸ,1,2240
scented,ਖੁਸ਼ਬੂਦਾਰ,13,23
scheduled,ਤਹਿ,1211,1251
scholastic,ਸਕੂਲੀ,11,1439
scientific,ਵਿਗਿਆਨਕ,1231,1337
scintillating,ਚਮਕਦਾ,47,113
scratchy,ਕਠੋਰ,3,321
scrumptious,ਮਜ਼ੇਦਾਰ,32,491
sealed,ਸੀਲਬੰਦ,386,57
seasonal,ਮੌਸਮੀ,165,317
seated,ਵਿਰਾਜਮਾਨ,221,15
second,ਸੈਕਿੰਡ,11767,156
secondary,ਗੌਣ,909,34
secondhand,ਜੂਠਾ,4,9
secret,ਭੇਤ,1330,527
secretarial,ਦਫ਼ਤਰੀ,7,80
sectarian,ਸੰਪਰਦਾਇਕ,23,11
secular,ਧਰਮਨਿਰਪੱਖ,188,12
secure,ਅਭੇਦ,1229,47
secured,ਬੰਧਨ,587,437
sedative,ਠੰਡੀ,38,140
seeded,ਬੀਜੀ,46,52
seemly,ਸਮੁੱਚਾ,1,415
select,ਚੁਣਨਾ,1278,1558
selected,ਵਿਸ਼ਿਸ਼ਟ,1981,11
self,ਸਵੈ,923,348
selfish,ਸਵਾਰਥੀ,137,99
selfsame,ਸਮਾਨ,2,3225
semantic,ਅਰਥੀ,23,119
semitransparent,ਪਾਰਦਰਸ਼ੀ,1,304
senior,ਸਿਆਣੇ,6793,275
sensational,ਸਨਸਨੀਖੇਜ,117,18
sensitive,ਭਾਵਨਾਤਮਕ,1081,660
separable,ਅਲੱਗ,3,2722
separated,ਵੱਖਰਾ,286,4700
septic,ਸੰਕ੍ਰਮਿਤ,42,337
sequential,ਲੜੀਵਾਰ,15,203
serbian,ਸਰਬਿਆਈ,25,26
serene,ਸਹਿਜ,105,658
serial,ਲੜੀਵਾਰ,182,203
serious,ਨਾਜੁਕ,8703,118
set,ਲਗਾਉਣਾ,8606,1219
settled,ਗੁਲਜ਼ਾਰ,712,111
seven,7,763,4065
seventeen,17,24,2323
seventeenth,17,18,2323
seventh,7,356,4065
seventy,70,46,2753
several,ਅਨੇਕਾਂ,20187,2037
severe,ਨਾਜੁਕ,2807,118
sexual,ਯੌਨ,1668,168
shadowed,ਛਾਂਦਾਰ,2,24
shadowy,ਅਪ੍ਰਤੱਖ,3,33
shady,ਛਾਂਦਾਰ,31,24
shaky,ਪੁਰਾਣਾ,56,1053
shallow,ਸਤਹੀ,168,143
shameful,ਅਪਮਾਨਜਨਕ,281,303
shameless,ਬੇਸ਼ਰਮ,25,21
shaped,ਬਣੀ,79,4940
shapeless,ਭੱਦਾ,7,22
shapely,ਸੰਗਠਿਤ,3,548
sharp,ਧਾਰਦਾਰ,866,14
shattered,ਚੂਰ-ਚੂਰ,213,15
shining,ਚਮਕਦਾਰ,80,3274
shiny,ਚਮਕਦਾਰ,222,3274
shocked,ਸੁੰਨ,1070,199
short,ਛੋਟਾ,3133,5658
shrill,ਉੱਚੀ,18,1354
shy,ਸ਼ਰਮਾਕਲ,377,129
siamese,ਥਾਈ,8,121
sick,ਥੁੱਕਣਾ,1327,10
sickly,ਬਿਮਾਰ,12,1188
signed,ਹਸਤਾਖ਼ਰ,1149,63
silken,ਰੇਸ਼ਮੀ,1,9
silky,ਰੇਸ਼ਮੀ,41,9
silver,ਚਾਂਦੀ,2371,1905
simulated,ਬਣਾਵਟੀ,5,24
sinful,ਨੀਚ,43,45
single,1,3915,10032
singular,ਇਕਲਾ,47,42
sinless,ਬੇਗੁਨਾਹ,4,71
sitting,ਵਿਰਾਜਮਾਨ,1824,15
situated,ਸਥਿਤ,790,10018
six,6,3190,5699
sixteen,16,50,3117
sixteenth,16,22,3117
sixth,6,581,5699
sixty,60,61,2665
sizzling,ਤੱਤੀ,29,10
skillful,ਸੂਖਮ,38,354
slack,ਬੁਝਾਉਣਾ,13,14
slanted,ਪੱਖਪਾਤੀ,2,101
sleazy,ਨੀਚ,9,45
sleek,ਰੇਸ਼ਮੀ,38,9
slender,ਲਚਕਦਾਰ,126,210
slick,ਰੇਸ਼ਮੀ,30,9
slight,ਨਿਰਬਲ,407,21
slim,ਨਿਰਬਲ,111,21
sloppy,ਦਲਦਲੀ,19,13
sloshed,ਟੱਲੀ,1,39
slothful,ਆਲਸੀ,2,832
slow,ਧੀਮਾ,1228,12
sluggish,ਮੰਦ,53,25
small,ਛੋਟਾ,13282,5658
smashed,ਟੱਲੀ,160,39
smashing,ਬਾਂਕਾ,29,10
smiling,ਹਾਸੀ,567,19
smooth,ਸਥਿਰ,1452,1803
snappy,ਰੰਗੀਲਾ,15,21
snarled,ਗਠੀਲਾ,2,10
snug,ਅਰਾਮਦੇਹ,14,457
soaked,ਟੱਲੀ,105,39
soaking,ਲੱਥਪੱਥ,82,31
sober,ਲਾਈਟ,75,532
social,ਸਮਾਜਿਕ,17070,4441
socialist,ਸਮਾਜਵਾਦੀ,113,515
societal,ਸਮਾਜਿਕ,41,4441
soft,ਘੋਸ਼,1667,187
soggy,ਮੰਦ,13,25
soiled,ਮਲੀਨ,28,19
solar,ਸੋਲਰ,664,297
sole,ਤਲ,451,424
solid,ਕੜਕ,857,203
solitary,ਮਹਿਜ,60,122
soluble,ਘੁਲਣਸ਼ੀਲ,108,21
somali,ਸੋਮਾਲੀ,30,10
somalian,ਸੋਮਾਲੀ,2,10
somber,ਲਾਈਟ,19,532
sombre,ਲਾਈਟ,19,532
sometime,ਪ੍ਰਾਚੀਨ,273,1405
sopping,ਲੱਥਪੱਥ,3,31
soppy,ਲੱਥਪੱਥ,2,31
sordid,ਗੰਦਾ,10,191
sound,ਵਜਾਉਣਾ,2570,38
sour,ਫਟਿਆ,314,28
southerly,ਦੱਖਣੀ,6,5265
southern,ਦੱਖਣੀ,903,5265
spanish,ਸਪੈਨਿਸ਼,420,43
spare,ਖ਼ਾਲੀ,280,292
sparkly,ਚਮਕਦਾ,15,113
sparse,ਦੁਰਲੱਭ,27,883
spartan,ਉਪਰਾਮ,1,11
speaking,ਬੋਲਦਾ,2984,543
special,ਸਪੈਸ਼ਲ,15488,653
specific,ਵਿਸ਼ੇਸ਼,3402,6944
speedy,ਤੇਜ਼,341,3351
spicy,ਕਾਮੁਕ,468,31
spiffy,ਰੰਗੀਲਾ,1,21
spiritual,ਰੂਹਾਨੀ,558,296
spiteful,ਈਰਖਾਲੂ,10,25
splendid,ਸੁਹਾਵਣਾ,177,1626
sporadic,ਛੋਟੀਆਂ-ਮੋਟੀਆਂ,36,16
spousal,ਵਿਵਾਹਿਕ,7,37
spread,ਫੈਲਣਾ,3814,56
spruce,ਰੰਗੀਲਾ,26,21
spry,ਫੁਰਤੀਲਾ,2,39
spurious,ਦੋਗਲਾ,143,13
squandered,ਤਬਾਹ,31,1747
square,ਅਨਜਾਣ,924,61
staged,ਅਭਿਨੀਤ,574,9
stagnant,ਗਤੀਹੀਣ,68,9
stale,ਬਾਸੀ,61,65
staring,ਪੱਕਾ,123,2686
stark,ਬੰਜਰ,79,37
starved,ਨਿਰਨਾ,18,13
starving,ਨਿਰਨਾ,84,13
stated,ਤਸਦੀਕ,2780,385
stately,ਅਮੀਰੀ,3,91
static,ਵਿਰਾਮ,118,86
statuesque,ਅਮੀਰੀ,1,91
sterile,ਬਾਂਝ,25,19
stewed,ਉਬਲਿਆ,22,23
sticky,ਲੇਸਦਾਰ,130,53
stiff,ਟੱਲੀ,176,39
still,ਬੁਝਾਉਣਾ,18398,14
stillborn,ਮ੍ਰਿਤ,2,146
stingy,ਰੱਤੀ,31,344
stinky,ਬਦਬੂਦਾਰ,10,17
stocky,ਭਰਵਾਂ,4,366
stodgy,ਭਾਰੀ,1,9463
stony,ਜਾਲਮ,14,17
storeyed,ਛੱਤ,2,2242
storied,ਛੱਤ,9,2242
straight,ਬੇਝਿਜਕ,1034,28
straightaway,ਛੇਤੀ,9,9568
straightforward,ਸਿੱਧਾ,397,2409
strained,ਜਾਲੀ,151,77
strange,ਅਲੱਗ,1501,2722
strategic,ਕੂਟਨੀਤਕ,607,280
streaming,ਵਗਦਾ,132,130
stressed,ਉਚਾ,1000,96
strict,ਕਠੋਰ,3386,321
strong,ਕੜਕ,5828,203
strung,ਪਾਬੰਦ,8,89
stubborn,ਅੜੀਅਲ,155,116
stuffed,ਭਰਵਾ,48,31
stunning,ਸਨਸਨੀਖੇਜ,1049,18
stupid,ਘੋਗਾ,592,9
subject,ਪਰਜਾ,3062,134
sublimated,ਨਿਰਮਲ,1,530
submerged,ਕਾਈ,165,25
subordinate,ਨੀਵੇਂ,105,188
substantial,ਕੜਕ,349,203
subtle,ਮੁਸ਼ਕਿਲ,215,1832
successive,ਲੜੀਵਾਰ,124,203
succinct,ਖੁਲਾਸਾ,27,2329
succulent,ਰਸੀਲਾ,22,26
sufferable,ਸਹਿਣਸ਼ੀਲ,2,78
sufi,ਸੂਫੀ,21,37
sugary,ਮਿੱਠਾ,215,613
suggestive,ਵਾਹਕ,24,36
suicidal,ਆਤਮਘਾਤੀ,65,551
suitable,ਦਰੁਸਤ,2926,401
suited,ਦਰੁਸਤ,228,401
sulphurous,ਰੁੱਖੀ,3,17
summary,ਖੁਲਾਸਾ,537,2329
summery,ਗਰਮੀ,2,5126
superfluous,ਵਾਧੂ,99,6918
superhuman,ਅਮਾਨਵੀ,5,9
supernumerary,ਵਾਧੂ,1,6918
supine,ਹਾਰੇ,5,134
supple,ਲਚਕਦਾਰ,44,210
supportable,ਸਹਿਣਸ਼ੀਲ,3,78
supposed,ਪਾਖੰਡੀ,2609,86
supreme,ਪਰਮ,5070,767
surplus,ਵਾਧੂ,115,6918
surrogate,ਪਾਲਣਹਾਰ,24,19
suspended,ਮੁਲਤਵੀ,1893,960
svelte,ਨਿਰਬਲ,2,21
swallowed,ਪ੍ਰਭਾਵਿਤ,19,7495
swampy,ਦਲਦਲੀ,10,13
swedish,ਸਵੀਡਿਸ਼,176,17
sweet,ਮਿਠਾਸ,2075,96
swell,ਫੁੱਲਣਾ,69,19
swollen,ਘਮੰਡੀ,98,180
systematic,ਨਿਯਮਬੱਧ,143,12
taboo,ਅਨੈਤਿਕ,22,112
tabu,ਅਨੈਤਿਕ,32,112
taciturn,ਸ਼ਾਤ,2,34
tactical,ਰਣਨੀਤੀਕ,38,17
tai,ਥਾਈ,29,121
taiwanese,ਚੀਨੀ,24,3282
talented,ਗੁਣਵਾਨ,779,21
talking,ਬੋਲਦੀ,4313,219
tame,ਡਰਪੋਕ,64,79
tamil,ਤਾਮਿਲ,1590,576
tangled,ਪੇਚੀਦਾ,12,125
tardy,ਠਹਿਰੇ,8,86
tasteful,ਸਵਾਦੀ,46,13
tattered,ਚੂਰ-ਚੂਰ,7,15
taxable,ਟੈਕਸਯੋਗ,44,25
tearful,ਸੋਗਮਈ,8,22
technical,ਉਦਯੋਗਿਕ,1849,1434
technological,ਉਦਯੋਗਿਕ,282,1434
tedious,ਅਕਾਊ,131,9
telling,ਥਿਰ,1129,20
temporary,ਅਸਥਾਈ,664,909
ten,10,258,10651
tender,ਦੇਣਾ,401,8883
tenth,ਦਸਵਾਂ,146,20
tepid,ਨਿੱਘਾ,47,597
terminal,ਮਿਆਦੀ,283,15
terrestrial,ਲੌਕਿਕ,14,9
terrible,ਹਨੇਰੀ,1649,234
terrified,ਘਬਰਾਇਆ,339,279
territorial,ਖੇਤਰੀ,186,1324
terrorist,ਦਹਿਸ਼ਤਗਰਦ,1787,238
tertiary,3,68,8092
tested,ਜਾਂਚਿਆ,1352,41
testy,ਜਿੱਦੀ,2,10
thai,ਥਾਈ,57,121
thankful,ਤ੍ਰਿਪਤ,1424,477
thankless,ਅਕ੍ਰਿਤਘਣ,6,811
thick,ਭਰਵਾਂ,1264,366
thin,ਦੁਰਲੱਭ,885,883
third,ਤਿਹਾਈ,6731,450
thirsty,ਪਿਆਸਾ,91,53
thirteen,13,37,3480
thirteenth,13,7,3480
thirtieth,30,3,4610
thirty,30,109,4610
thoroughgoing,ਪੱਕਾ,3,2686
thoughtful,ਵਿਚਾਰਵਾਨ,246,73
thousand,1000,2804,527
three,3,24418,8092
thrifty,ਕਿਫ਼ਾਇਤੀ,11,23
thrilled,ਰੋਮਾਂਚਿਤ,457,845
thrilling,ਰੋਮਾਂਚਿਕ,166,73
thriving,ਵਿਕਾਸਸ਼ੀਲ,50,90
thumping,ਮਹਾਨ,95,5365
tibetan,ਤਿੱਬਤੀ,49,81
tight,ਟੱਲੀ,768,39
tillable,ਕਿਰਸਾਨੀ,1,20
timeless,ਚਿਰਸਥਾਈ,33,59
tinny,ਨੀਚ,4,45
tipsy,ਟੱਲੀ,2,39
tired,ਨਿਢਾਲ,1365,25
tireless,ਮਿਹਨਤੀ,28,692
tiresome,ਅਕਾਊ,21,9
tiring,ਥਕਾਊ,99,17
titillating,ਰੰਗੀਨ,2,571
toilsome,ਕਠਿਨ,1,388
torn,ਫਟਿਆ,180,28
torrential,ਮੋਹਲੇਧਾਰ,93,122
tortuous,ਪੇਚੀਦਾ,7,125
tortured,ਸਤਾਏ,138,45
total,ਟੋਟਲ,9960,19
touched,ਛੂਹਿਆ,370,64
tough,ਸੰਘਰਸ਼ਮਈ,2116,11
tousled,ਅੱਡੋ-ਅੱਡ,1,24
toxicant,ਜ਼ਹਿਰੀਲਾ,2,78
traditional,ਪੁਸ਼ਤੈਨੀ,1588,24
traditionalist,ਪਰੰਪਰਾਵਾਦੀ,14,74
trained,ਉਸਤਾਦ,690,86
tranquil,ਸਹਿਜ,124,658
tranquilising,ਠੰਡੀ,1,140
tranquilizing,ਠੰਡੀ,1,140
translucent,ਪਾਰਦਰਸ਼ੀ,34,304
transmissible,ਖਾਨਦਾਨੀ,30,19
transmittable,ਸੰਚਾਰੀ,3,21
transmitted,ਖਾਨਦਾਨੀ,382,19
transparent,ਪਾਰਦਰਸ਼ੀ,610,304
treasonable,ਗੱਦਾਰ,1,311
treasonous,ਗੱਦਾਰ,2,311
treated,ਨਿਰੋਗ,2969,53
tricolor,ਤਿਰੰਗਾ,26,173
tried,ਜਾਂਚਿਆ,3511,41
trillion,ਬਿਲੀਅਨ,75,276
trivial,ਮਾਮੂਲੀ,176,2113
tropic,ਊਸ਼ਣਕਟੀਬੰਧੀ,3,10
tropical,ਊਸ਼ਣਕਟੀਬੰਧੀ,188,10
troubled,ਸੰਕਟਗ੍ਰਸਤ,328,18
troubling,ਸੋਚਣਯੋਗ,175,9
true,ਖਰਾ,14136,143
truncate,ਕੱਟਿਆ,1,1717
truncated,ਕੱਟਿਆ,8,1717
trustful,ਵਿਸ਼ਵਾਸੀ,8,18
trusting,ਵਿਸ਼ਵਾਸੀ,191,18
truthful,ਖਰਾ,263,143
tumultuous,ਸੰਕਟਗ੍ਰਸਤ,21,18
turbid,ਗੰਧਲਾ,7,26
turbulent,ਸੰਕਟਗ੍ਰਸਤ,57,18
turkish,ਤੁਰਕੀ,273,993
turned,ਫਟਿਆ,4332,28
twelfth,12,20,5380
twelve,12,84,5380
twenty,20,143,7279
twinkly,ਖੁਸ਼,1,4379
two,2,46068,11376
twofold,ਦੁੱਗਣਾ,18,117
typical,ਪ੍ਰਸਿੱਧ,727,6804
tyrannical,ਬੇਲਗਾਮ,11,46
ubiquitous,ਸਰਵਵਿਆਪਕ,25,36
ugly,ਭੈੜੀ,356,273
unaccountable,ਜਵਾਬਦੇਹ,8,214
unachievable,ਅਪ੍ਰਾਪਤ,5,17
unadulterated,ਪੱਕਾ,5,2686
unafraid,ਬੇਖੌਫ,9,19
unanimous,ਇਕਮੱਤ,156,13
unappetizing,ਨਾਪਸੰਦ,2,164
unappreciative,ਰੁੱਖੇ,1,9
unarmed,ਨਿਹੱਥੇ,31,229
unashamed,ਬੇਝਿਜਕ,4,28
unassailable,ਅਭੇਦ,42,47
unassisted,ਲਾਵਾਰਸ,2,47
unassuming,ਨਿਮਾਣਾ,16,21
unattainable,ਅਪ੍ਰਾਪਤ,21,17
unattended,ਅਣਦੇਖਿਆ,28,56
unattractive,ਭੱਦਾ,28,22
unavailable,ਅਪ੍ਰਾਪਤ,55,17
unaware,ਗੁਮਨਾਮ,157,41
unbalanced,ਬੋਲਾ,29,19
unbearable,ਅਸਹਿਣਯੋਗ,70,20
unbeatable,ਅਜਿੱਤ,25,21
unbeaten,ਅਜਿਤ,126,90
unbecoming,ਅਸਮਾਜਿਕ,9,17
unbelieving,ਨਿਰਾਸ਼ਾਵਾਦੀ,4,11
unbiased,ਇਨਸਾਫ,25,713
unbleached,ਬੇਰੰਗ,1,61
unbounded,ਬੇਹੱਦ,14,7883
unbridled,ਬੇਲਗਾਮ,8,46
unceasing,ਅਨਾਦਿ,2,51
uncertain,ਬਦਲਣਯੋਗ,167,19
unchecked,ਬੇਲਗਾਮ,8,46
unclaimed,ਲਾਵਾਰਿਸ,12,62
unclean,ਬਣਾਉਟੀ,22,53
uncommon,ਥੋੜ੍ਹੀ,286,2797
unconcealed,ਪ੍ਰਤੱਖ,1,284
unconsecrated,ਮੈਲਾ,4,34
unconstitutional,ਅਸੰਵਿਧਾਨਕ,220,38
uncontrollable,ਉਪੱਦਰੀ,57,163
uncontrolled,ਬੇਕਾਬੂ,59,412
uncontroversial,ਨਿਰਵਿਵਾਦ,5,49
uncoordinated,ਬਿਖਰਿਆ,3,34
uncounted,ਬੇਅੰਤ,2,750
uncouth,ਮਿਲਾਵਟੀ,6,74
uncovered,ਬੇਪਰਦ,34,17
underground,ਭੂਮੀਗਤ,170,125
underlying,ਮੂਲ,181,4115
underwater,ਕਾਈ,55,25
undetermined,ਅਣਉਚਿਤ,7,147
undoable,ਅਪ੍ਰਾਪਤ,1,17
undrinkable,ਦੂਸ਼ਿਤ,2,184
undyed,ਬੇਰੰਗ,1,61
unearthly,ਰੂਹਾਨੀ,13,296
uneasy,ਉਤਾਵਲਾ,114,29
unemotional,ਸੰਤੋਖੀ,3,10
unending,ਅਨਾਦਿ,14,51
unendurable,ਅਸਹਿਣਯੋਗ,3,20
unenlightened,ਅਗਿਆਨੀ,1,17
unerring,ਸਫਲ,1,6370
unexceptionable,ਨਿਰਵਿਵਾਦ,2,49
unfair,ਪੱਖਪਾਤੀ,222,101
unfaithful,ਗੱਦਾਰ,15,311
unfastened,ਖੁੱਲਾ,1,120
unfavorable,ਪ੍ਰਤੀਕੂਲ,122,57
unfavourable,ਪ੍ਰਤੀਕੂਲ,13,57
unflagging,ਅਣਥੱਕ,1,219
unfortunate,ਮੰਦਭਾਗਾ,814,340
unfounded,ਬੇਬੁਨਿਆਦ,120,1059
unfree,ਕੈਦੀ,3,431
unfriendly,ਅਣਜਾਣ,15,844
unfruitful,ਸਜਾਵਟੀ,2,781
ungodly,ਨਾਸਤਿਕ,5,85
ungoverned,ਬੇਲਗਾਮ,1,46
ungrateful,ਅਕ੍ਰਿਤਘਣ,24,811
unguarded,ਅਸੁਰੱਖਿਅਤ,5,332
unheard,ਅਣਸੁਣੀ,40,32
unhinged,ਬੋਲਾ,5,19
unholy,ਨੀਚ,24,45
unidentified,ਗੁਮਨਾਮ,2023,41
unified,ਸ਼ਾਮਿਲ,99,2844
unilateral,ਇਕਤਰਫ਼ਾ,81,68
uninformed,ਅਨਾੜੀ,14,26
uninhabited,ਉਜਾੜ,13,94
uninjured,ਤੰਦਰੁਸਤ,20,4202
unintelligent,ਘੋਗਾ,5,9
uninvolved,ਉਪਰਾਮ,2,11
unique,ਇਕਲਾ,4029,42
united,ਵਿਚਾਲੇ,5905,6828
unknowing,ਗੁਮਨਾਮ,3,41
unknown,ਅਜਨਬੀ,1733,96
unlearned,ਅਗਿਆਨੀ,5,17
unlike,ਬੇਮੇਲ,315,13
unlucky,ਚੰਦਰਾ,31,138
unmanageable,ਅਪਾਰ,4,95
unmarried,ਕੁਆਰੀ,51,58
unmatchable,ਇਕਲਾ,1,42
unmatched,ਇਕਲਾ,20,42
unmeasurable,ਅਸੀਮਤ,2,68
unmistakable,ਪ੍ਰਤੱਖ,15,284
unnamed,ਗੁਮਨਾਮ,54,41
unnecessary,ਨਿਰਾਰਥਕ,608,10
unneeded,ਨਿਰਾਰਥਕ,8,10
unobserved,ਅਣਦੇਖਿਆ,1,56
unofficial,ਗੈਰਸਰਕਾਰੀ,41,9
unopposed,ਆਜਾਦ,73,70
unpalatable,ਮਾੜਾ,1,2043
unparliamentary,ਅਨਿਯਮਤ,5,40
unperturbed,ਸ਼ਾਤ,5,34
unprecedented,ਅਸਾਧਾਰਣ,283,1028
unprocessed,ਗੰਧਲਾ,3,26
unqualified,ਅਯੋਗ,7,336
unrealizable,ਅਪ੍ਰਾਪਤ,4,17
unrecorded,ਲਾਈਵ,2,946
unrefined,ਗੰਧਲਾ,9,26
unrelated,ਦੂਸਰਾ,40,1005
unreserved,ਜਰਨਲ,23,648
unresolved,ਅਣਸੁਲਝਿਆ,46,12
unrestricted,ਕਰਨਯੋਗ,9,62
unripe,ਕੱਚਾ,6,519
unripened,ਕੱਚਾ,1,519
unrivaled,ਇਕਲਾ,16,42
unrivalled,ਇਕਲਾ,4,42
unruly,ਉਪੱਦਰੀ,33,163
unsalted,ਫਿੱਕਾ,2,403
unsanitary,ਨੁਕਸਾਨਦਾਇਕ,6,200
unsatisfied,ਅਸੰਤੁਸ਼ਟ,30,40
unsavory,ਨਾਪਸੰਦ,2,164
unsavoury,ਨਾਪਸੰਦ,10,164
unscheduled,ਅਨਿਯਮਤ,6,40
unseemly,ਅਸਮਾਜਿਕ,11,17
unseen,ਅਣਦੇਖਿਆ,44,56
unsettled,ਬਦਲਣਯੋਗ,35,19
unskilled,ਅਣਜਾਣ,5,844
unsolved,ਅਣਸੁਲਝਿਆ,21,12
unspoiled,ਸੋਹਣਾ,3,977
unspoken,ਸ਼ਾਂਤ,15,1549
unstoppable,ਬੇਰੋਕ,33,86
unsuccessful,ਫਲਾਪ,288,83
unsuitable,ਅਨਾੜੀ,24,26
unsung,ਅਨਾਮ,18,12
unsympathetic,ਅਸਹਿਮਤ,6,235
untamed,ਜੰਗਲੀ,1,934
untangled,ਸੁਲਝੀ,1,28
untimely,ਬੇਵਕਤ,170,9
untiring,ਮਿਹਨਤੀ,24,692
untouched,ਵਾਂਝਾ,43,159
untoward,ਅਸਮਾਜਿਕ,620,17
untrained,ਅਣਜਾਣ,2,844
untrue,ਫਰੇਬ,265,18
unused,ਖ਼ਾਲੀ,10,292
unusual,ਅਲੱਗ,1866,2722
unvarying,ਸਥਿਰ,2,1803
unwarranted,ਬੇਬੁਨਿਆਦ,67,1059
unwavering,ਸਪਾਟ,10,209
unwell,ਬਿਮਾਰ,89,1188
unwitting,ਗੁਮਨਾਮ,1,41
unwritten,ਮੌਖਿਕ,5,178
upcoming,ਆਗਾਮੀ,2546,562
upper,ਆਲਾ,745,147
upset,ਅਸ਼ਾਂਤੀ,1191,43
urdu,ਉਰਦੂ,268,366
usable,ਅਸਲੀ,58,6479
useable,ਅਸਲੀ,12,6479
used,ਜੂਠਾ,16558,9
useful,ਦਰੁਸਤ,5827,401
useless,ਬੇਕਾਰ,238,1443
utilised,ਉਪਯੁਕਤ,130,65
utilized,ਉਪਯੁਕਤ,251,65
utmost,ਬੇਪਨਾਹ,449,11
utter,ਬੋਲਣਾ,196,515
uttered,ਵਿਅਕਤ,70,160
uttermost,ਬੇਪਨਾਹ,1,11
v,5,688,8561
vacillating,ਢਿੱਲਾ,1,109
vacuous,ਨਿਆਣਾ,2,12
vagabond,ਭਟਕਣਾ,3,54
vague,ਅਪ੍ਰਤੱਖ,111,33
vain,ਘਮੰਡੀ,568,180
vapid,ਫਿੱਕੀ,3,59
various,ਰੰਗਾਰੰਗ,12022,457
vedic,ਵੈਦਿਕ,51,59
vehicular,ਵਾਹਨ,131,4979
venomous,ਰੁੱਖੀ,19,17
verbalized,ਵਿਅਕਤ,1,160
verboten,ਅਨੈਤਿਕ,2,112
verified,ਪ੍ਰਮਾਣਿਤ,253,534
versatile,ਰੰਗਾਰੰਗ,271,457
vertical,ਖੜਾ,140,1364
vexed,ਵਿਆਕੁਲ,42,37
vi,6,154,5699
viable,ਕਰਨਯੋਗ,175,62
victorian,ਵਿਕਟੋਰੀਅਨ,29,16
victorious,ਜੇਤੂ,189,4605
vietnamese,ਵੀਅਤਨਾਮੀ,46,29
vii,7,30,4065
viii,8,148,4627
vindicated,ਬਰੀ,10,929
vindictive,ਈਰਖਾਲੂ,19,25
violent,ਕਸਾਈ,671,13
viral,ਵਾਇਰਲ,5862,6629
virgin,ਕਲੀ,127,35
virtuous,ਅਣਵਿਆਹੀ,30,9
virulent,ਰੁੱਖੀ,7,17
viscous,ਲੇਸਦਾਰ,23,53
vitiated,ਭ੍ਰਿਸ਼ਟਾਚਾਰੀ,9,13
vitriolic,ਰੁੱਖੀ,1,17
voiced,ਘੋਸ਼,130,187
volcanic,ਜਵਾਲਾਮੁਖੀ,35,88
voluntary,ਸਵੈ-ਇੱਛਕ,155,21
voluptuous,ਚਾਹਵਾਨ,2,844
vulgar,ਮਿਲਾਵਟੀ,45,74
wan,ਉਦਾਸ,23,2240
wandering,ਵਣਜਾਰਾ,30,11
wanting,ਅਸੰਭਵ,593,3356
warlike,ਸਾਮਰਿਕ,6,9
warm,ਪ੍ਰੇਮੀ,3844,1479
warranted,ਬੰਧਨ,62,437
washed,ਧੋਇਆ,869,21
wasted,ਤਬਾਹ,337,1747
waterlogged,ਦਲਦਲੀ,123,13
watery,ਪਤਲਾ,53,332
wavering,ਢਿੱਲਾ,2,109
waxy,ਮੋਮੀ,7,12
wayward,ਢੀਠ,9,188
weak,ਨਿਰਬਲ,729,21
weakly,ਨਿਰਬਲ,16,21
wearing,ਬੰਨ੍ਹਣ,1439,88
wearisome,ਅਕਾਊ,4,9
wearying,ਥਕਾਊ,2,17
weeping,ਸੋਗਮਈ,52,22
weepy,ਰੋਂਦੂ,7,21
weighty,ਬੇਡੌਲ,33,22
well,ਸਰੋਤ,34985,3788
westerly,ਪੱਛਮੀ,15,4932
western,ਪੱਛਮੀ,1139,4932
